,AAPL,MSI,SBUX
0,67.8542,60.3,28.185
1,68.5614,60.9,28.07
2,66.8428,60.83,28.13
3,66.7156,60.81,27.915
4,66.6556,61.12,27.775
5,65.7371,61.43,27.17
6,65.7128,62.03,27.225
7,64.1214,61.26,26.655
8,63.7228,60.88,26.675
9,64.4014,61.9,27.085
10,63.2571,60.28,26.605
11,64.1385,60.63,26.64
12,63.5099,62.09,27.285
13,63.0571,62.21,27.425
14,61.4957,62.03,27.435
15,60.0071,62.5,27.85
16,61.5919,62.97,28.255
17,60.8088,63.11,28.55
18,61.5117,62.64,29.125
19,61.6742,62.75,29.335
20,62.5528,62.56,29.305
21,61.2042,62.13,29.14
22,61.1928,62.22,29.2925
23,61.7857,62.34,28.84
24,63.3799,62.07,28.83
25,65.1028,61.64,28.465
26,64.9271,61.67,28.415
27,64.5828,62.4,28.715
28,64.6756,62.43,28.525
29,65.9871,63.61,28.69
30,66.2256,63.29,28.345
31,65.8765,63.46,28.525
32,64.5828,63.56,28.455
33,63.2371,64.03,28.475
34,61.2728,63.7,28.435
35,61.3988,63.7,29.13
36,61.7128,62.8,28.85
37,61.1028,62.99,29.055
38,60.4571,62.67,28.9
39,60.8871,63.17,29.06
40,60.9971,63.64,28.705
41,62.2414,64.69,28.9
42,62.0471,64.63,29.2875
43,61.3999,63.87,29.545
44,59.9785,61.83,28.855
45,60.8914,62.96,29.28
46,57.5428,62.13,29.085
47,56.0071,61.15,28.86
48,55.7899,61.72,29.2025
49,56.9528,61.78,29.32
50,58.0185,61.75,29.695
51,57.9231,56.02,29.915
52,58.3399,56.39,30.25
53,59.6007,56.8,30.0
54,61.4457,57.44,30.29
55,63.2542,57.2,30.42
56,62.7557,56.37,30.07
57,63.6457,56.89,30.19
58,64.2828,57.29,30.935
59,65.8156,56.95,31.24
60,65.5225,56.79,31.095
61,66.2628,57.0,31.205
62,65.2528,56.78,31.18
63,64.7099,56.48,31.5485
64,64.9628,56.17,31.41
65,63.4085,56.89,31.76
66,61.2642,57.1,32.035
67,62.0825,57.53,31.775
68,61.8942,57.84,32.065
69,63.2757,58.25,31.915
70,62.8085,57.77,32.125
71,63.0505,57.3,32.075
72,63.1628,57.48,31.76
73,63.5928,57.81,31.68
74,63.0627,58.53,32.13
75,63.5642,58.32,31.815
76,64.5114,58.54,31.735
77,64.2478,57.96,31.57
78,64.3885,57.83,31.73
79,64.1871,57.41,31.665
80,63.5871,56.27,31.17
81,62.6371,56.92,31.51
82,63.1158,56.94,32.52
83,62.6985,56.61,33.055
84,62.5142,56.38,32.71
85,61.7414,56.26,32.225
86,62.2807,57.19,32.985
87,61.4357,56.93,32.8
88,61.7142,57.33,33.015
89,61.6814,57.35,33.5475
90,60.4285,56.78,33.205
91,59.5482,55.5,32.61
92,59.0714,55.82,32.345
93,57.5057,55.59,32.005
94,57.5185,56.35,32.37
95,56.8671,57.49,32.9
96,56.2542,57.84,32.845
97,56.6471,57.73,32.755
98,58.4599,57.98,33.12
99,59.7842,57.49,33.395
100,60.1142,57.26,33.65
101,59.6314,57.93,33.86
102,59.2928,57.86,34.145
103,60.3357,58.03,34.065
104,60.1042,58.43,34.05
105,61.0411,59.05,34.67
106,60.9299,59.54,34.86
107,61.0628,59.17,34.83
108,61.4564,59.32,34.76
109,61.4728,59.42,34.1
110,61.6797,59.36,34.24
111,60.7071,59.85,34.395
112,60.9014,59.87,34.51
113,59.8557,59.98,33.83
114,62.9299,56.04,33.305
115,62.6428,54.25,34.085
116,62.9985,54.26,36.68
117,63.9699,54.01,36.225
118,64.7599,54.35,35.965
119,64.6471,54.83,35.6445
120,65.2394,55.32,36.74
121,66.0771,56.02,37.115
122,67.0642,56.1,36.985
123,66.4642,56.4,36.4
124,66.4256,56.48,36.095
125,65.8585,57.13,36.47
126,64.9214,57.36,36.4
127,66.7656,57.44,36.465
128,69.9385,57.84,36.32
129,71.2142,57.71,35.925
130,71.1299,56.96,35.37
131,71.7614,57.15,35.355
132,72.5342,57.09,35.145
133,71.5814,57.05,35.33
134,71.7656,56.06,35.3565
135,71.8514,56.33,35.95
136,71.5742,56.74,35.985
137,71.8528,56.55,35.94
138,69.7985,56.12,35.08
139,70.1279,56.39,35.48
140,70.2428,56.19,35.59
141,69.6022,56.01,35.26
142,69.7971,56.28,35.8
143,71.2415,56.08,36.07
144,70.7528,56.17,36.025
145,71.1742,56.47,35.785
146,72.3099,57.59,36.22
147,70.6628,57.37,37.1075
148,66.8156,57.25,37.695
149,67.5271,57.5,37.835
150,66.4142,57.46,37.785
151,64.3028,57.81,37.62
152,65.0456,58.28,38.02
153,66.3828,59.26,38.665
154,67.4714,59.69,38.175
155,66.7728,60.39,38.06
156,70.0914,60.37,37.68
157,69.8714,59.99,38.275
158,68.7899,59.85,38.17
159,69.4599,59.87,38.59
160,68.9642,59.75,38.665
161,68.1071,59.38,38.485
162,69.7085,60.89,38.58
163,69.9371,60.7,38.595
164,69.0585,60.56,38.435
165,69.0042,61.14,38.7
166,69.6785,60.89,38.4305
167,68.7056,59.62,37.765
168,69.5125,59.39,37.63
169,69.9482,60.61,38.56
170,70.4016,60.52,38.91
171,70.8628,61.03,39.05
172,71.2399,60.49,38.355
173,71.5876,60.71,39.02
174,72.0714,60.92,39.3675
